|  x3   |  x2   |  x1   |  x0   | sel1  | sel0  |  out  |
|   0   |   0   |   0   |   0   |   0   |   0   |   0   |
|   0   |   0   |   0   |   1   |   0   |   1   |   0   |
|   0   |   0   |   1   |   0   |   1   |   0   |   0   |
|   0   |   0   |   1   |   1   |   1   |   1   |   0   |
|   0   |   1   |   0   |   0   |   0   |   0   |   0   |
|   0   |   1   |   0   |   1   |   0   |   1   |   0   |
|   0   |   1   |   1   |   0   |   1   |   0   |   1   |
|   0   |   1   |   1   |   1   |   1   |   1   |   0   |
|   1   |   0   |   0   |   0   |   0   |   0   |   0   |
|   1   |   0   |   0   |   1   |   0   |   1   |   0   |
|   1   |   0   |   1   |   0   |   1   |   0   |   0   |
|   1   |   0   |   1   |   1   |   1   |   1   |   1   |
|   1   |   1   |   0   |   0   |   0   |   0   |   0   |
|   1   |   1   |   0   |   1   |   0   |   1   |   0   |
|   1   |   1   |   1   |   0   |   1   |   0   |   1   |
|   1   |   1   |   1   |   1   |   1   |   1   |   1   |
